Time Serie,EU/US,SWD/US
2002-12-30,0.956,8.76
2002-12-31,0.9537,8.695
2003-01-01,ND,ND
2003-01-02,0.9652,8.792
2003-01-03,0.9599,8.717
2003-01-06,0.9552,8.677
2003-01-07,0.9598,8.695
2003-01-08,0.9572,8.694
2003-01-09,0.9554,8.713
2003-01-10,0.9492,8.678
2003-01-13,0.9492,8.6985
2003-01-14,0.946,8.672
2003-01-15,0.9455,8.67
2003-01-16,0.9462,8.676
2003-01-17,0.9381,8.6245
2003-01-20,ND,ND
2003-01-21,0.9366,8.656
2003-01-22,0.9321,8.623
2003-01-23,0.9288,8.6
2003-01-24,0.9238,8.525
2003-01-27,0.9227,8.525
2003-01-28,0.9231,8.533
2003-01-29,0.9207,8.475
2003-01-30,0.928,8.515
2003-01-31,0.9312,8.614
2003-02-03,0.9293,8.565
2003-02-04,0.9195,8.493
2003-02-05,0.9223,8.535
2003-02-06,0.9235,8.475
2003-02-07,0.9258,8.49
2003-02-10,0.9311,8.545
2003-02-11,0.9305,8.512
2003-02-12,0.9332,8.5245
2003-02-13,0.923,8.41
2003-02-14,0.926,8.443
2003-02-17,ND,ND
2003-02-18,0.9339,8.524
2003-02-19,0.9308,8.477
2003-02-20,0.9241,8.411
2003-02-21,0.927,8.46
2003-02-24,0.9274,8.465
2003-02-25,0.9275,8.453
2003-02-26,0.9262,8.421
2003-02-27,0.9291,8.482
2003-02-28,0.9277,8.505
2003-03-03,0.9229,8.497
2003-03-04,0.9189,8.425
2003-03-05,0.9118,8.378
2003-03-06,0.9093,8.365
2003-03-07,0.9079,8.373
2003-03-10,0.904,8.367
2003-03-11,0.9068,8.449
2003-03-12,0.9072,8.431
2003-03-13,0.92,8.5
2003-03-14,0.9324,8.577
2003-03-17,0.9429,8.668
2003-03-18,0.9413,8.699
2003-03-19,0.9443,8.675
2003-03-20,0.9422,8.639
2003-03-21,0.9483,8.703
2003-03-24,0.9395,8.675
2003-03-25,0.9369,8.673
2003-03-26,0.9366,8.653
2003-03-27,0.9339,8.6425
2003-03-28,0.9292,8.561
2003-03-31,0.9174,8.4735
2003-04-01,0.9171,8.483
2003-04-02,0.9289,8.585
2003-04-03,0.9314,8.565
2003-04-04,0.9336,8.5927
2003-04-07,0.9415,8.6425
2003-04-08,0.936,8.568
2003-04-09,0.9327,8.527
2003-04-10,0.9257,8.475
2003-04-11,0.9301,8.49
2003-04-14,0.9282,8.473
2003-04-15,0.9258,8.484
2003-04-16,0.9198,8.424
2003-04-17,0.9168,8.402
2003-04-18,0.9189,8.4125
2003-04-21,0.9211,8.42
2003-04-22,0.9119,8.335
2003-04-23,0.9133,8.319
2003-04-24,0.9059,8.25
2003-04-25,0.9058,8.264
2003-04-28,0.9092,8.323
2003-04-29,0.9083,8.285
2003-04-30,0.8945,8.17
2003-05-01,0.8898,8.118
2003-05-02,0.8929,8.147
